table_name,estimated_rows,total_table_bytes,table_comment
secprd2004,2286775,407306240,Security Price File 2004 (Updated 2025-11-14)
secprd2005,2366054,421421056,Security Price File 2005 (Updated 2025-11-14)
secprd2006,2525133,449748992,Security Price File 2006 (Updated 2025-11-14)
secprd2007,3240130,577028096,Security Price File 2007 (Updated 2025-11-14)
secprd2008,2387422,425263104,Security Price File 2008 (Updated 2025-11-14)
secprd2009,1793431,319496192,Security Price File 2009 (Updated 2025-11-14)
secprd2010,1769413,315244544,Security Price File 2010 (Updated 2025-11-14)
secprd2011,1815714,323436544,Security Price File 2011 (Updated 2025-11-14)
secprd2012,1817959,323854336,Security Price File 2012 (Updated 2025-11-14)
secprd2013,2057525,366510080,Security Price File 2013 (Updated 2025-11-14)
secprd2014,2168513,386252800,Security Price File 2014 (Updated 2025-11-14)
secprd2015,2207296,393166848,Security Price File 2015 (Updated 2025-11-14)
secprd2016,2133974,380116992,Security Price File 2016 (Updated 2025-11-14)
secprd2017,2097941,373686272,Security Price File 2017 (Updated 2025-11-14)
secprd2018,2030503,361701376,Security Price File 2018 (Updated 2025-11-14)
secprd2019,2029825,361586688,Security Price File 2019 (Updated 2025-11-14)
secprd2020,2080612,370597888,Security Price File 2020 (Updated 2025-11-14)
secprd2021,2325221,414154752,Security Price File 2021 (Updated 2025-11-14)
secprd2022,2535764,451633152,Security Price File 2022 (Updated 2025-11-14)
secprd2023,2494685,444366848,
secprd2024,2532224,451002368,Security Price File 2024 (Updated 2025-11-14)
secprd2025,1735302,309092352,Security Price File 2025 (Updated 2025-11-14)
securd,115380,19169280,Security File (Updated 2025-11-14)
securd1,116223,12935168,Security File + Issuer Name (Updated 2025-11-14)
stdbrte1996,5418699,619577344,Standard Borrow Rate File 1996 (Updated 2025-11-14)
stdbrte1997,6540523,747839488,Standard Borrow Rate File 1997 (Updated 2025-11-14)
stdbrte1998,7431798,849747968,Standard Borrow Rate File 1998 (Updated 2025-11-14)
stdbrte1999,7699571,880361472,Standard Borrow Rate File 1999 (Updated 2025-11-14)
stdbrte2000,6979621,798040064,Standard Borrow Rate File 2000 (Updated 2025-11-14)
stdbrte2001,6435715,735846400,Standard Borrow Rate File 2001 (Updated 2025-11-14)
stdbrte2002,6582202,752599040,Standard Borrow Rate File 2002 (Updated 2025-11-14)
stdbrte2003,6181384,706789376,Standard Borrow Rate File 2003 (Updated 2025-11-14)
stdbrte2004,6620944,757030912,Standard Borrow Rate File 2004 (Updated 2025-11-14)
stdbrte2005,7290855,833642496,Standard Borrow Rate File 2005 (Updated 2025-11-14)
stdbrte2006,7874526,900358144,Standard Borrow Rate File 2006 (Updated 2025-11-14)
stdbrte2007,8683037,992788480,Standard Borrow Rate File 2007 (Updated 2025-11-14)
stdbrte2008,9017503,1031036928,Standard Borrow Rate File 2008 (Updated 2025-11-14)
stdbrte2009,8889309,1016381440,Standard Borrow Rate File 2009 (Updated 2025-11-14)
stdbrte2010,9266873,1059545088,Standard Borrow Rate File 2010 (Updated 2025-11-14)
stdbrte2011,9957442,1138499584,Standard Borrow Rate File 2011 (Updated 2025-11-14)
stdbrte2012,10148347,1160323072,Standard Borrow Rate File 2012 (Updated 2025-11-14)
stdbrte2013,10876547,1243570176,Standard Borrow Rate File 2013 (Updated 2025-11-14)
stdbrte2014,11588071,1324908544,Standard Borrow Rate File 2014 (Updated 2025-11-14)
stdbrte2015,11900031,1360584704,Standard Borrow Rate File 2015 (Updated 2025-11-14)
stdbrte2016,12243187,1399816192,Standard Borrow Rate File 2016 (Updated 2025-11-14)
stdbrte2017,11943338,1365532672,Standard Borrow Rate File 2017 (Updated 2025-11-14)
stdbrte2018,11877140,1357963264,Standard Borrow Rate File 2018 (Updated 2025-11-14)
stdbrte2019,11777326,1346551808,Standard Borrow Rate File 2019 (Updated 2025-11-14)
stdbrte2020,11883762,1358716928,Standard Borrow Rate File 2020 (Updated 2025-11-14)
stdbrte2021,13995322,1600143360,Standard Borrow Rate File 2021 (Updated 2025-11-14)
stdbrte2022,16001612,1829519360,Standard Borrow Rate File 2022 (Updated 2025-11-14)
stdbrte2023,16086730,1839251456,
stdbrte2024,15869744,1814446080,Standard Borrow Rate File 2024 (Updated 2025-11-14)
stdbrte2025,10299949,1177649152,Standard Borrow Rate File 2025 (Updated 2025-11-14)
stdopd1996,10573676,1938292736,Standard Option Price File 1996 (Updated 2025-11-14)
stdopd1997,12772952,2341527552,Standard Option Price File 1997 (Updated 2025-11-14)
stdopd1998,14509760,2659581952,Standard Option Price File 1998 (Updated 2025-11-14)
stdopd1999,15055892,2759983104,Standard Option Price File 1999 (Updated 2025-11-14)
stdopd2000,13749982,2520514560,Standard Option Price File 2000 (Updated 2025-11-14)
stdopd2001,12820358,2350129152,Standard Option Price File 2001 (Updated 2025-11-14)
stdopd2002,13083222,2398019584,Standard Option Price File 2002 (Updated 2025-11-14)
stdopd2003,12275862,2250407936,Standard Option Price File 2003 (Updated 2025-11-14)
stdopd2004,13177306,2415853568,Standard Option Price File 2004 (Updated 2025-11-14)
stdopd2005,14543240,2666250240,Standard Option Price File 2005 (Updated 2025-11-14)
stdopd2006,15671338,2872942592,Standard Option Price File 2006 (Updated 2025-11-14)
